ingredient_a,ingredient_b,severity,effect,action,source
perindopril,spironolactone,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
perindopril,telmisartan,avoid,Dual blockade of the renin-angiotensin system without added benefit,"Use one or the other, not both",Combined RAS blockade increases renal failure and hyperkalaemia
perindopril,valsartan,avoid,Dual blockade of the renin-angiotensin system without added benefit,"Use one or the other, not both",Combined RAS blockade increases renal failure and hyperkalaemia
potassium chloride,ramipril,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
potassium chloride,spironolactone,avoid,Risk of dangerously high potassium,Avoid the combination,Additive potassium retention
potassium chloride,telmisartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
potassium chloride,valsartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
propranolol,verapamil,serious,"Risk of severe bradycardia, heart block and heart failure",Avoid the combination; amlodipine is safer with a beta blocker,Additive negative chronotropic and inotropic effect
ramipril,spironolactone,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
ramipril,telmisartan,avoid,Dual blockade of the renin-angiotensin system without added benefit,"Use one or the other, not both",Combined RAS blockade increases renal failure and hyperkalaemia
ramipril,valsartan,avoid,Dual blockade of the renin-angiotensin system without added benefit,"Use one or the other, not both",Combined RAS blockade increases renal failure and hyperkalaemia
sertraline,sumatriptan,serious,Risk of serotonin syndrome,"Avoid, or counsel on agitation, tremor and fever",Additive serotonergic effect
sertraline,tramadol,serious,Risk of serotonin syndrome,"Avoid, or counsel on agitation, tremor and fever",Additive serotonergic effect
sertraline,warfarin,serious,Increased risk of gastrointestinal bleeding,"Consider gastric protection, or an alternative analgesic",SSRIs impair platelet aggregation
spironolactone,telmisartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
spironolactone,valsartan,serious,Risk of dangerously high potassium,Check potassium and renal function; avoid in renal impairment,Additive potassium retention
